27456.057 4.354662105 -161
27456.107 0.145083449 -170
27456.157 -3.675488212 -180
27456.207 -6.906924348 -188
27456.307 -11.63123752 -198
27456.357 -13.23467044 -202
27456.406 -14.17577848 -204
27456.456 -14.56904878 -204
27456.506 -14.50195327 -204
27456.556 -14.50195327 -204
27456.606 -14.41406239 -204
27456.706 -13.10665511 -198
27456.756 -10.93581563 -191
27456.806 -7.900110507 -183
27456.856 -4.190895761 -173
27456.906 -0.2384320484 -163
27456.956 3.968648221 -153
27457.006 7.91086659 -144
27457.106 13.7793901 -130
27457.156 15.67706454 -126
27457.206 17.0180647 -123
27457.256 17.57812533 -123
27457.306 17.57812533 -122
27457.356 17.57812533 -122
27457.406 17.38519361 -125
27457.456 15.92269085 -129
27457.556 10.54253697 -145
27457.606 6.950503651 -154
27457.656 2.837249285 -164
27457.706 -1.17347968 -174
27457.756 -4.85965727 -183
27457.806 -7.928817271 -190
27457.856 -10.35128619 -195
27457.906 -12.33082915 -200
27458.005 -14.32582538 -204
27458.055 -14.41406239 -204
27458.155 -14.41406239 -203
27458.255 -13.68419032 -201
27458.355 -9.407858488 -187
27458.455 -2.004984299 -167
27458.555 6.254289083 -147
27458.605 9.721317795 -139
27458.705 14.95791993 -127
27458.755 16.4342427 -124
27458.855 17.57812533 -122
27458.905 17.52552141 -122
27459.005 16.28419299 -128
27459.055 14.28844632 -134
27459.155 7.72907438 -152
27459.205 3.625556467 -162
27459.305 -4.208394648 -181
27459.355 -7.447029958 -188
27459.455 -12.01002219 -199
27459.505 -13.52728584 -202
27459.554 -14.28589015 -204
27459.654 -14.50195327 -204
27459.704 -14.41406239 -204
27459.754 -14.41406239 -203
27459.854 -12.76723891 -196
27459.904 -10.33822613 -190
27459.954 -7.262419543 -181
